idx,db_id,question,gold_query,generated_raw,extracted_sql,score,reason
284,employee_hire_evaluation,Which shop has the most employees? Give me the shop name.,SELECT t2.name FROM hiring AS t1 JOIN shop AS t2 ON t1.shop_id  =  t2.shop_id GROUP BY t1.shop_id ORDER BY count(*) DESC LIMIT 1,SELECT T2.name FROM hiring AS T1 JOIN shop AS T2 ON T1.shop_id  =  T2.shop_id GROUP BY T1.shop_id ORDER BY count(*) DESC LIMIT 1,SELECT T2.name FROM hiring AS T1 JOIN shop AS T2 ON T1.shop_id  =  T2.shop_id GROUP BY T1.shop_id ORDER BY count(*) DESC LIMIT 1,1.0,Resultados idênticos (ordered=True).
285,employee_hire_evaluation,Find the name of the shops that do not hire any employee.,SELECT name FROM shop WHERE shop_id NOT IN (SELECT shop_id FROM hiring),SELECT name FROM shop WHERE shop_id NOT IN (SELECT shop_id FROM hiring),SELECT name FROM shop WHERE shop_id NOT IN (SELECT shop_id FROM hiring),1.0,Resultados idênticos (ordered=False).
286,employee_hire_evaluation,Which shops run with no employees? Find the shop names,SELECT name FROM shop WHERE shop_id NOT IN (SELECT shop_id FROM hiring),SELECT name FROM shop WHERE shop_id NOT IN (SELECT shop_id FROM hiring),SELECT name FROM shop WHERE shop_id NOT IN (SELECT shop_id FROM hiring),1.0,Resultados idênticos (ordered=False).
287,employee_hire_evaluation,Find the number of employees hired in each shop; show the shop name as well.,"SELECT count(*) ,  t2.name FROM hiring AS t1 JOIN shop AS t2 ON t1.shop_id  =  t2.shop_id GROUP BY t2.name","SELECT T2.name ,  COUNT(*) FROM hiring AS T1 JOIN shop AS T2 ON T1.shop_id  =  T2.shop_id GROUP BY T1.shop_id","SELECT T2.name ,  COUNT(*) FROM hiring AS T1 JOIN shop AS T2 ON T1.shop_id  =  T2.shop_id GROUP BY T1.shop_id",0.0,"Resultados divergentes (ordered=False). gold=6 linhas, pred=6 linhas."
288,employee_hire_evaluation,"For each shop, return the number of employees working there and the name of the shop.","SELECT count(*) ,  t2.name FROM hiring AS t1 JOIN shop AS t2 ON t1.shop_id  =  t2.shop_id GROUP BY t2.name","SELECT T2.Number_products ,  T1.Name FROM hiring AS T1 JOIN shop AS T2 ON T1.Shop_ID  =  T2.Shop_ID GROUP BY T1.Shop_ID","SELECT T2.Number_products ,  T1.Name FROM hiring AS T1 JOIN shop AS T2 ON T1.Shop_ID  =  T2.Shop_ID GROUP BY T1.Shop_ID",0.0,Falha ao executar a consulta gerada: no such column: T1.Name
289,employee_hire_evaluation,What is total bonus given in all evaluations?,SELECT sum(bonus) FROM evaluation,SELECT sum(bonus) FROM evaluation,SELECT sum(bonus) FROM evaluation,1.0,Resultados idênticos (ordered=False).
290,employee_hire_evaluation,Find the total amount of bonus given in all the evaluations.,SELECT sum(bonus) FROM evaluation,SELECT sum(bonus) FROM evaluation,SELECT sum(bonus) FROM evaluation,1.0,Resultados idênticos (ordered=False).
291,employee_hire_evaluation,Give me all the information about hiring.,SELECT * FROM hiring,SELECT * FROM hiring,SELECT * FROM hiring,1.0,Resultados idênticos (ordered=False).
292,employee_hire_evaluation,What is all the information about hiring?,SELECT * FROM hiring,SELECT * FROM hiring,SELECT * FROM hiring,1.0,Resultados idênticos (ordered=False).
293,employee_hire_evaluation,Which district has both stores with less than 3000 products and stores with more than 10000 products?,SELECT district FROM shop WHERE Number_products  <  3000 INTERSECT SELECT district FROM shop WHERE Number_products  >  10000,SELECT district FROM shop WHERE number_products  <  3000 INTERSECT SELECT district FROM shop WHERE number_products  >  10000,SELECT district FROM shop WHERE number_products  <  3000 INTERSECT SELECT district FROM shop WHERE number_products  >  10000,1.0,Resultados idênticos (ordered=False).
294,employee_hire_evaluation,Find the districts in which there are both shops selling less than 3000 products and shops selling more than 10000 products.,SELECT district FROM shop WHERE Number_products  <  3000 INTERSECT SELECT district FROM shop WHERE Number_products  >  10000,SELECT district FROM shop WHERE number_products  <  3000 INTERSECT SELECT district FROM shop WHERE number_products  >  10000,SELECT district FROM shop WHERE number_products  <  3000 INTERSECT SELECT district FROM shop WHERE number_products  >  10000,1.0,Resultados idênticos (ordered=False).
295,employee_hire_evaluation,How many different store locations are there?,SELECT count(DISTINCT LOCATION) FROM shop,SELECT count(DISTINCT LOCATION) FROM shop,SELECT count(DISTINCT LOCATION) FROM shop,1.0,Resultados idênticos (ordered=False).
296,employee_hire_evaluation,Count the number of distinct store locations.,SELECT count(DISTINCT LOCATION) FROM shop,SELECT count(DISTINCT LOCATION) FROM shop,SELECT count(DISTINCT LOCATION) FROM shop,1.0,Resultados idênticos (ordered=False).
297,cre_Doc_Template_Mgt,How many documents do we have?,SELECT count(*) FROM Documents,SELECT count(*) FROM documents,SELECT count(*) FROM documents,1.0,Resultados idênticos (ordered=False).
298,cre_Doc_Template_Mgt,Count the number of documents.,SELECT count(*) FROM Documents,SELECT count(*) FROM Documents,SELECT count(*) FROM Documents,1.0,Resultados idênticos (ordered=False).
299,cre_Doc_Template_Mgt,"List document IDs, document names, and document descriptions for all documents.","SELECT document_id ,  document_name ,  document_description FROM Documents","SELECT document_id ,  document_name ,  document_description FROM documents","SELECT document_id ,  document_name ,  document_description FROM documents",1.0,Resultados idênticos (ordered=False).
300,cre_Doc_Template_Mgt,"What are the ids, names, and descriptions for all documents?","SELECT document_id ,  document_name ,  document_description FROM Documents","SELECT document_id ,  document_name ,  document_description FROM documents","SELECT document_id ,  document_name ,  document_description FROM documents",1.0,Resultados idênticos (ordered=False).
301,cre_Doc_Template_Mgt,What is the document name and template id for document with description with the letter 'w' in it?,"SELECT document_name ,  template_id FROM Documents WHERE Document_Description LIKE ""%w%""","SELECT document_name ,  template_id FROM documents WHERE document_description LIKE '%w%'","SELECT document_name ,  template_id FROM documents WHERE document_description LIKE '%w%'",1.0,Resultados idênticos (ordered=False).
302,cre_Doc_Template_Mgt,Return the names and template ids for documents that contain the letter w in their description.,"SELECT document_name ,  template_id FROM Documents WHERE Document_Description LIKE ""%w%""","SELECT document_name ,  document_id FROM documents WHERE other_details LIKE ""%w%""","SELECT document_name ,  document_id FROM documents WHERE other_details LIKE ""%w%""",0.0,"Resultados divergentes (ordered=False). gold=2 linhas, pred=0 linhas."
303,cre_Doc_Template_Mgt,"What is the document id, template id and description for document named ""Robbin CV""?","SELECT document_id ,  template_id ,  Document_Description FROM Documents WHERE document_name  =  ""Robbin CV""","SELECT document_id ,  template_id ,  document_description FROM documents WHERE document_name  =  ""Robbin CV""","SELECT document_id ,  template_id ,  document_description FROM documents WHERE document_name  =  ""Robbin CV""",1.0,Resultados idênticos (ordered=False).
304,cre_Doc_Template_Mgt,"Return the document id, template id, and description for the document with the name Robbin CV.","SELECT document_id ,  template_id ,  Document_Description FROM Documents WHERE document_name  =  ""Robbin CV""","SELECT document_id ,  template_id ,  document_description FROM documents WHERE document_name  =  ""Robbin CV""","SELECT document_id ,  template_id ,  document_description FROM documents WHERE document_name  =  ""Robbin CV""",1.0,Resultados idênticos (ordered=False).
305,cre_Doc_Template_Mgt,How many different templates do all document use?,SELECT count(DISTINCT template_id) FROM Documents,SELECT count(DISTINCT template_id) FROM documents,SELECT count(DISTINCT template_id) FROM documents,1.0,Resultados idênticos (ordered=False).
306,cre_Doc_Template_Mgt,Count the number of different templates used for documents.,SELECT count(DISTINCT template_id) FROM Documents,SELECT count(DISTINCT template_id) FROM documents,SELECT count(DISTINCT template_id) FROM documents,1.0,Resultados idênticos (ordered=False).
307,cre_Doc_Template_Mgt,How many documents are using the template with type code 'PPT'?,SELECT count(*) FROM Documents AS T1 JOIN Templates AS T2 ON T1.Template_ID  =  T2.Template_ID WHERE T2.Template_Type_Code  =  'PPT',SELECT count(*) FROM documents AS T1 JOIN templates AS T2 ON T1.template_id  =  T2.template_id WHERE T2.template_type_code  =  'PPT',SELECT count(*) FROM documents AS T1 JOIN templates AS T2 ON T1.template_id  =  T2.template_id WHERE T2.template_type_code  =  'PPT',1.0,Resultados idênticos (ordered=False).
308,cre_Doc_Template_Mgt,Count the number of documents that use the PPT template type.,SELECT count(*) FROM Documents AS T1 JOIN Templates AS T2 ON T1.Template_ID  =  T2.Template_ID WHERE T2.Template_Type_Code  =  'PPT',SELECT count(*) FROM documents AS T1 JOIN templates AS T2 ON T1.template_id  =  T2.template_id WHERE T2.template_type_code  =  'PPT',SELECT count(*) FROM documents AS T1 JOIN templates AS T2 ON T1.template_id  =  T2.template_id WHERE T2.template_type_code  =  'PPT',1.0,Resultados idênticos (ordered=False).
309,cre_Doc_Template_Mgt,Show all template ids and number of documents using each template.,"SELECT template_id ,  count(*) FROM Documents GROUP BY template_id","SELECT T1.template_id ,  count(*) FROM templates AS T1 JOIN documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_id","SELECT T1.template_id ,  count(*) FROM templates AS T1 JOIN documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_id",1.0,Resultados idênticos (ordered=False).
310,cre_Doc_Template_Mgt,"What are all different template ids used for documents, and how many times were each of them used?","SELECT template_id ,  count(*) FROM Documents GROUP BY template_id","SELECT T1.template_id ,  count(*) FROM templates AS T1 JOIN documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_id","SELECT T1.template_id ,  count(*) FROM templates AS T1 JOIN documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_id",1.0,Resultados idênticos (ordered=False).
311,cre_Doc_Template_Mgt,What is the id and type code for the template used by the most documents?,"SELECT T1.template_id ,  T2.Template_Type_Code FROM Documents AS T1 JOIN Templates AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_id ORDER BY count(*) DESC LIMIT 1","SELECT T1.template_id ,  T1.template_type_code FROM templates AS T1 JOIN documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_id ORDER BY count(*) DESC LIMIT 1","SELECT T1.template_id ,  T1.template_type_code FROM templates AS T1 JOIN documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_id ORDER BY count(*) DESC LIMIT 1",1.0,Resultados idênticos (ordered=True).
312,cre_Doc_Template_Mgt,Return the id and type code of the template that is used for the greatest number of documents.,"SELECT T1.template_id ,  T2.Template_Type_Code FROM Documents AS T1 JOIN Templates AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_id ORDER BY count(*) DESC LIMIT 1","SELECT T1.template_id ,  T1.template_type_code FROM templates AS T1 JOIN documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_id ORDER BY count(*) DESC LIMIT 1","SELECT T1.template_id ,  T1.template_type_code FROM templates AS T1 JOIN documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_id ORDER BY count(*) DESC LIMIT 1",1.0,Resultados idênticos (ordered=True).
313,cre_Doc_Template_Mgt,Show ids for all templates that are used by more than one document.,SELECT template_id FROM Documents GROUP BY template_id HAVING count(*)  >  1,SELECT T1.template_id FROM templates AS T1 JOIN documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_id HAVING count(*)  >  1,SELECT T1.template_id FROM templates AS T1 JOIN documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_id HAVING count(*)  >  1,1.0,Resultados idênticos (ordered=False).
314,cre_Doc_Template_Mgt,What are the template ids of any templates used in more than a single document?,SELECT template_id FROM Documents GROUP BY template_id HAVING count(*)  >  1,SELECT T1.template_id FROM templates AS T1 JOIN documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_id HAVING count(*)  >  1,SELECT T1.template_id FROM templates AS T1 JOIN documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_id HAVING count(*)  >  1,1.0,Resultados idênticos (ordered=False).
315,cre_Doc_Template_Mgt,Show ids for all templates not used by any document.,SELECT template_id FROM Templates EXCEPT SELECT template_id FROM Documents,SELECT template_id FROM templates WHERE template_id NOT IN (SELECT template_id FROM documents),SELECT template_id FROM templates WHERE template_id NOT IN (SELECT template_id FROM documents),1.0,Resultados idênticos (ordered=False).
316,cre_Doc_Template_Mgt,What are the ids for templates that are not used in any documents?,SELECT template_id FROM Templates EXCEPT SELECT template_id FROM Documents,SELECT template_id FROM templates WHERE template_id NOT IN (SELECT template_id FROM documents),SELECT template_id FROM templates WHERE template_id NOT IN (SELECT template_id FROM documents),1.0,Resultados idênticos (ordered=False).
317,cre_Doc_Template_Mgt,How many templates do we have?,SELECT count(*) FROM Templates,SELECT count(*) FROM templates,SELECT count(*) FROM templates,1.0,Resultados idênticos (ordered=False).
318,cre_Doc_Template_Mgt,Count the number of templates.,SELECT count(*) FROM Templates,SELECT count(*) FROM templates,SELECT count(*) FROM templates,1.0,Resultados idênticos (ordered=False).
319,cre_Doc_Template_Mgt,"Show template ids, version numbers, and template type codes for all templates.","SELECT template_id ,  version_number ,  template_type_code FROM Templates","SELECT template_id ,  version_number ,  template_type_code FROM templates","SELECT template_id ,  version_number ,  template_type_code FROM templates",1.0,Resultados idênticos (ordered=False).
320,cre_Doc_Template_Mgt,"What are the ids, version numbers, and type codes for each template?","SELECT template_id ,  version_number ,  template_type_code FROM Templates","SELECT template_id ,  version_number ,  template_type_code FROM templates","SELECT template_id ,  version_number ,  template_type_code FROM templates",1.0,Resultados idênticos (ordered=False).
321,cre_Doc_Template_Mgt,Show all distinct template type codes for all templates.,SELECT DISTINCT template_type_code FROM Templates,SELECT DISTINCT template_type_code FROM templates,SELECT DISTINCT template_type_code FROM templates,1.0,Resultados idênticos (ordered=False).
322,cre_Doc_Template_Mgt,What are the different template type codes?,SELECT DISTINCT template_type_code FROM Templates,SELECT DISTINCT template_type_code FROM templates,SELECT DISTINCT template_type_code FROM templates,1.0,Resultados idênticos (ordered=False).
323,cre_Doc_Template_Mgt,What are the ids of templates with template type code PP or PPT?,"SELECT template_id FROM Templates WHERE template_type_code  =  ""PP"" OR template_type_code  =  ""PPT""",SELECT template_id FROM templates WHERE template_type_code  =  'PP' OR template_type_code  =  'PPT',SELECT template_id FROM templates WHERE template_type_code  =  'PP' OR template_type_code  =  'PPT',1.0,Resultados idênticos (ordered=False).
324,cre_Doc_Template_Mgt,Return the ids of templates that have the code PP or PPT.,"SELECT template_id FROM Templates WHERE template_type_code  =  ""PP"" OR template_type_code  =  ""PPT""",SELECT template_id FROM templates WHERE template_type_code  =  'PP' OR template_type_code  =  'PPT',SELECT template_id FROM templates WHERE template_type_code  =  'PP' OR template_type_code  =  'PPT',1.0,Resultados idênticos (ordered=False).
325,cre_Doc_Template_Mgt,How many templates have template type code CV?,"SELECT count(*) FROM Templates WHERE template_type_code  =  ""CV""",SELECT count(*) FROM templates WHERE template_type_code  =  'CV',SELECT count(*) FROM templates WHERE template_type_code  =  'CV',1.0,Resultados idênticos (ordered=False).
326,cre_Doc_Template_Mgt,Count the number of templates of the type CV.,"SELECT count(*) FROM Templates WHERE template_type_code  =  ""CV""",SELECT count(*) FROM templates WHERE template_type_code  =  'CV',SELECT count(*) FROM templates WHERE template_type_code  =  'CV',1.0,Resultados idênticos (ordered=False).
327,cre_Doc_Template_Mgt,What is the version number and template type code for the template with version number later than 5?,"SELECT version_number ,  template_type_code FROM Templates WHERE version_number  >  5","SELECT version_number ,  template_type_code FROM templates WHERE version_number  >  5","SELECT version_number ,  template_type_code FROM templates WHERE version_number  >  5",1.0,Resultados idênticos (ordered=False).
328,cre_Doc_Template_Mgt,Return the version numbers and template type codes of templates with a version number greater than 5.,"SELECT version_number ,  template_type_code FROM Templates WHERE version_number  >  5","SELECT version_number ,  template_type_code FROM templates WHERE version_number  >  5","SELECT version_number ,  template_type_code FROM templates WHERE version_number  >  5",1.0,Resultados idênticos (ordered=False).
329,cre_Doc_Template_Mgt,Show all template type codes and number of templates for each.,"SELECT template_type_code ,  count(*) FROM Templates GROUP BY template_type_code","SELECT template_type_code ,  count(*) FROM templates GROUP BY template_type_code","SELECT template_type_code ,  count(*) FROM templates GROUP BY template_type_code",1.0,Resultados idênticos (ordered=False).
330,cre_Doc_Template_Mgt,"What are the different template type codes, and how many templates correspond to each?","SELECT template_type_code ,  count(*) FROM Templates GROUP BY template_type_code","SELECT T1.template_type_code ,  count(*) FROM ref_template_types AS T1 JOIN templates AS T2 ON T1.template_type_code  =  T2.template_type_code GROUP BY T1.template_type_code","SELECT T1.template_type_code ,  count(*) FROM ref_template_types AS T1 JOIN templates AS T2 ON T1.template_type_code  =  T2.template_type_code GROUP BY T1.template_type_code",1.0,Resultados idênticos (ordered=False).
331,cre_Doc_Template_Mgt,Which template type code has most number of templates?,SELECT template_type_code FROM Templates GROUP BY template_type_code ORDER BY count(*) DESC LIMIT 1,SELECT T1.template_type_code FROM ref_template_types AS T1 JOIN templates AS T2 ON T1.template_type_code  =  T2.template_type_code GROUP BY T1.template_type_code ORDER BY count(*) DESC LIMIT 1,SELECT T1.template_type_code FROM ref_template_types AS T1 JOIN templates AS T2 ON T1.template_type_code  =  T2.template_type_code GROUP BY T1.template_type_code ORDER BY count(*) DESC LIMIT 1,1.0,Resultados idênticos (ordered=True).
332,cre_Doc_Template_Mgt,Return the type code of the template type that the most templates belong to.,SELECT template_type_code FROM Templates GROUP BY template_type_code ORDER BY count(*) DESC LIMIT 1,SELECT T1.template_type_code FROM ref_template_types AS T1 JOIN templates AS T2 ON T1.template_type_code  =  T2.template_type_code GROUP BY T1.template_type_code ORDER BY count(*) DESC LIMIT 1,SELECT T1.template_type_code FROM ref_template_types AS T1 JOIN templates AS T2 ON T1.template_type_code  =  T2.template_type_code GROUP BY T1.template_type_code ORDER BY count(*) DESC LIMIT 1,1.0,Resultados idênticos (ordered=True).
333,cre_Doc_Template_Mgt,Show all template type codes with less than three templates.,SELECT template_type_code FROM Templates GROUP BY template_type_code HAVING count(*)  <  3,SELECT template_type_code FROM templates GROUP BY template_type_code HAVING count(*)  <  3,SELECT template_type_code FROM templates GROUP BY template_type_code HAVING count(*)  <  3,1.0,Resultados idênticos (ordered=False).
334,cre_Doc_Template_Mgt,What are the codes of template types that have fewer than 3 templates?,SELECT template_type_code FROM Templates GROUP BY template_type_code HAVING count(*)  <  3,SELECT template_type_code FROM templates GROUP BY template_type_code HAVING count(*)  <  3,SELECT template_type_code FROM templates GROUP BY template_type_code HAVING count(*)  <  3,1.0,Resultados idênticos (ordered=False).
335,cre_Doc_Template_Mgt,What the smallest version number and its template type code?,"SELECT min(Version_Number) ,  template_type_code FROM Templates","SELECT min(version_number) ,  template_type_code FROM templates GROUP BY template_type_code ORDER BY min(version_number)","SELECT min(version_number) ,  template_type_code FROM templates GROUP BY template_type_code ORDER BY min(version_number)",0.0,"Resultados divergentes (ordered=False). gold=1 linhas, pred=5 linhas."
336,cre_Doc_Template_Mgt,"Return the lowest version number, along with its corresponding template type code.","SELECT min(Version_Number) ,  template_type_code FROM Templates","SELECT min(version_number) ,  t1.template_type_code FROM templates AS t1 JOIN ref_template_types AS t2 ON t1.template_type_code  =  t2.template_type_code GROUP BY t1.template_type_code","SELECT min(version_number) ,  t1.template_type_code FROM templates AS t1 JOIN ref_template_types AS t2 ON t1.template_type_code  =  t2.template_type_code GROUP BY t1.template_type_code",0.0,"Resultados divergentes (ordered=False). gold=1 linhas, pred=5 linhas."
337,cre_Doc_Template_Mgt,"What is the template type code of the template used by document with the name ""Data base""?","SELECT T1.template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id WHERE T2.document_name  =  ""Data base""","SELECT T1.template_type_code FROM templates AS T1 JOIN documents AS T2 ON T1.template_id  =  T2.template_id WHERE T2.document_name  =  ""Data base""","SELECT T1.template_type_code FROM templates AS T1 JOIN documents AS T2 ON T1.template_id  =  T2.template_id WHERE T2.document_name  =  ""Data base""",1.0,Resultados idênticos (ordered=False).
338,cre_Doc_Template_Mgt,Return the template type code of the template that is used by a document named Data base.,"SELECT T1.template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id WHERE T2.document_name  =  ""Data base""","SELECT T1.template_type_code FROM templates AS T1 JOIN documents AS T2 ON T1.template_id  =  T2.template_id WHERE T2.document_name  =  ""Data base""","SELECT T1.template_type_code FROM templates AS T1 JOIN documents AS T2 ON T1.template_id  =  T2.template_id WHERE T2.document_name  =  ""Data base""",1.0,Resultados idênticos (ordered=False).
339,cre_Doc_Template_Mgt,Show all document names using templates with template type code BK.,"SELECT T2.document_name FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id WHERE T1.template_type_code  =  ""BK""",SELECT T1.document_name FROM documents AS T1 JOIN templates AS T2 ON T1.template_id  =  T2.template_id WHERE T2.template_type_code  =  'BK',SELECT T1.document_name FROM documents AS T1 JOIN templates AS T2 ON T1.template_id  =  T2.template_id WHERE T2.template_type_code  =  'BK',1.0,Resultados idênticos (ordered=False).
340,cre_Doc_Template_Mgt,What are the names of documents that use templates with the code BK?,"SELECT T2.document_name FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id WHERE T1.template_type_code  =  ""BK""",SELECT T1.document_name FROM documents AS T1 JOIN templates AS T2 ON T1.template_id  =  T2.template_id WHERE T2.template_type_code  =  'BK',SELECT T1.document_name FROM documents AS T1 JOIN templates AS T2 ON T1.template_id  =  T2.template_id WHERE T2.template_type_code  =  'BK',1.0,Resultados idênticos (ordered=False).
341,cre_Doc_Template_Mgt,Show all template type codes and the number of documents using each type.,"SELECT T1.template_type_code ,  count(*) FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_type_code","SELECT T1.template_type_code ,  count(*) FROM templates AS T1 JOIN documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_type_code","SELECT T1.template_type_code ,  count(*) FROM templates AS T1 JOIN documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_type_code",1.0,Resultados idênticos (ordered=False).
342,cre_Doc_Template_Mgt,"What are the different template type codes, and how many documents use each type?","SELECT T1.template_type_code ,  count(*) FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_type_code","SELECT T1.template_type_code ,  count(*) FROM templates AS T1 JOIN documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_type_code","SELECT T1.template_type_code ,  count(*) FROM templates AS T1 JOIN documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_type_code",1.0,Resultados idênticos (ordered=False).
343,cre_Doc_Template_Mgt,Which template type code is used by most number of documents?,SELECT T1.template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_type_code ORDER BY count(*) DESC LIMIT 1,SELECT T1.template_type_code FROM templates AS T1 JOIN documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_type_code ORDER BY count(*) DESC LIMIT 1,SELECT T1.template_type_code FROM templates AS T1 JOIN documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_type_code ORDER BY count(*) DESC LIMIT 1,1.0,Resultados idênticos (ordered=True).
344,cre_Doc_Template_Mgt,Return the code of the template type that is most commonly used in documents.,SELECT T1.template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_type_code ORDER BY count(*) DESC LIMIT 1,SELECT T1.template_type_code FROM ref_template_types AS T1 JOIN templates AS T2 ON T1.template_type_code  =  T2.template_type_code GROUP BY T1.template_type_code ORDER BY count(*) DESC LIMIT 1,SELECT T1.template_type_code FROM ref_template_types AS T1 JOIN templates AS T2 ON T1.template_type_code  =  T2.template_type_code GROUP BY T1.template_type_code ORDER BY count(*) DESC LIMIT 1,0.0,"Resultados divergentes (ordered=True). gold=1 linhas, pred=1 linhas."
345,cre_Doc_Template_Mgt,Show all template type codes that are not used by any document.,SELECT template_type_code FROM Templates EXCEPT SELECT template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id,SELECT template_type_code FROM ref_template_types EXCEPT SELECT template_type_code FROM templates,SELECT template_type_code FROM ref_template_types EXCEPT SELECT template_type_code FROM templates,0.0,"Resultados divergentes (ordered=False). gold=1 linhas, pred=0 linhas."
346,cre_Doc_Template_Mgt,What are the codes of template types that are not used for any document?,SELECT template_type_code FROM Templates EXCEPT SELECT template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id,SELECT template_type_code FROM ref_template_types EXCEPT SELECT template_type_code FROM templates,SELECT template_type_code FROM ref_template_types EXCEPT SELECT template_type_code FROM templates,0.0,"Resultados divergentes (ordered=False). gold=1 linhas, pred=0 linhas."
347,cre_Doc_Template_Mgt,Show all template type codes and descriptions.,"SELECT template_type_code ,  template_type_description FROM Ref_template_types","SELECT template_type_code ,  template_type_description FROM ref_template_types","SELECT template_type_code ,  template_type_description FROM ref_template_types",1.0,Resultados idênticos (ordered=False).
348,cre_Doc_Template_Mgt,What are the type codes and descriptions for all template types?,"SELECT template_type_code ,  template_type_description FROM Ref_template_types","SELECT template_type_code ,  template_type_description FROM ref_template_types","SELECT template_type_code ,  template_type_description FROM ref_template_types",1.0,Resultados idênticos (ordered=False).
349,cre_Doc_Template_Mgt,"What is the template type descriptions for template type code ""AD"".","SELECT template_type_description FROM Ref_template_types WHERE template_type_code  =  ""AD""","SELECT T1.template_type_description FROM ref_template_types AS T1 JOIN templates AS T2 ON T1.template_type_code  =  T2.template_type_code WHERE T2.template_type_code  =  ""AD""","SELECT T1.template_type_description FROM ref_template_types AS T1 JOIN templates AS T2 ON T1.template_type_code  =  T2.template_type_code WHERE T2.template_type_code  =  ""AD""",0.0,"Resultados divergentes (ordered=False). gold=1 linhas, pred=3 linhas."
350,cre_Doc_Template_Mgt,Return the template type description of the template type with the code AD.,"SELECT template_type_description FROM Ref_template_types WHERE template_type_code  =  ""AD""",SELECT T1.template_type_description FROM ref_template_types AS T1 JOIN templates AS T2 ON T1.template_type_code  =  T2.template_type_code WHERE T1.template_type_code  =  'AD',SELECT T1.template_type_description FROM ref_template_types AS T1 JOIN templates AS T2 ON T1.template_type_code  =  T2.template_type_code WHERE T1.template_type_code  =  'AD',0.0,"Resultados divergentes (ordered=False). gold=1 linhas, pred=3 linhas."
351,cre_Doc_Template_Mgt,"What is the template type code for template type description ""Book"".","SELECT template_type_code FROM Ref_template_types WHERE template_type_description  =  ""Book""","SELECT template_type_code FROM ref_template_types WHERE template_type_description  =  ""Book""","SELECT template_type_code FROM ref_template_types WHERE template_type_description  =  ""Book""",1.0,Resultados idênticos (ordered=False).
352,cre_Doc_Template_Mgt,"Return the type code of the template type with the description ""Book"".","SELECT template_type_code FROM Ref_template_types WHERE template_type_description  =  ""Book""","SELECT template_type_code FROM ref_template_types WHERE template_type_description  =  ""Book""","SELECT template_type_code FROM ref_template_types WHERE template_type_description  =  ""Book""",1.0,Resultados idênticos (ordered=False).
353,cre_Doc_Template_Mgt,What are the distinct template type descriptions for the templates ever used by any document?,SELECT DISTINCT T1.template_type_description FROM Ref_template_types AS T1 JOIN Templates AS T2 ON T1.template_type_code  = T2.template_type_code JOIN Documents AS T3 ON T2.Template_ID  =  T3.template_ID,SELECT DISTINCT T1.template_type_description FROM ref_template_types AS T1 JOIN templates AS T2 ON T1.template_type_code  =  T2.template_type_code JOIN documents AS T3 ON T2.template_id  =  T3.template_id,SELECT DISTINCT T1.template_type_description FROM ref_template_types AS T1 JOIN templates AS T2 ON T1.template_type_code  =  T2.template_type_code JOIN documents AS T3 ON T2.template_id  =  T3.template_id,1.0,Resultados idênticos (ordered=False).
